Index,PatientNo,SaxSlice,TimeFrame,IsED,IsES,SegmentationSize,TP,TN,FP,FN
0,28,5,1,True,False,488,471,48628,36,17
0,28,5,16,False,True,324,280,48323,505,44
0,28,5,17,False,True,317,298,48334,501,19
0,28,5,18,False,True,310,298,48344,498,12
0,28,6,1,True,False,543,509,48608,1,34
0,28,6,16,False,True,332,272,48820,0,60
0,28,6,17,False,True,318,256,48834,0,62
0,28,6,18,False,True,301,272,48850,1,29
0,28,7,1,True,False,599,511,48553,0,88
0,28,7,17,False,True,285,268,48867,0,17
0,28,7,18,False,True,284,261,48868,0,23
0,28,8,1,True,False,632,470,48519,1,162
0,28,8,16,False,True,314,235,48837,1,79
0,28,8,17,False,True,310,227,48842,0,83
0,28,8,18,False,True,306,231,48846,0,75
0,28,9,1,True,False,621,433,48531,0,188
0,28,9,16,False,True,297,182,48855,0,115
0,28,9,17,False,True,306,191,48846,0,115
0,28,9,18,False,True,326,200,48826,0,126
0,28,10,1,True,False,606,475,48546,0,131
0,28,10,16,False,True,303,192,48849,0,111
0,28,10,17,False,True,323,214,48829,0,109
0,28,10,18,False,True,320,221,48832,0,99
0,28,11,1,True,False,399,258,48753,0,141
0,28,11,16,False,True,142,62,49010,0,80
0,28,11,17,False,True,129,32,49023,0,97
0,28,11,18,False,True,154,80,48998,0,74
0,28,12,1,True,False,254,148,48898,0,106
0,28,12,16,False,True,49,49,0,49103,0
0,28,12,17,False,True,44,44,0,49108,0
0,28,12,18,False,True,41,41,0,49111,0
0,28,13,1,True,False,53,53,0,49099,0
1,30,5,1,True,False,518,452,48474,160,66
1,30,6,1,True,False,1275,1247,45547,2330,28
1,30,6,10,False,True,676,660,47810,666,16
1,30,6,11,False,True,662,660,47792,698,2
1,30,6,12,False,True,700,671,47779,673,29
1,30,7,1,True,False,1336,1253,47801,15,83
1,30,7,10,False,True,718,667,48290,144,51
1,30,7,11,False,True,686,647,48308,158,39
1,30,7,12,False,True,718,675,48232,202,43
1,30,8,1,True,False,1228,886,47924,0,342
1,30,8,10,False,True,572,520,48576,4,52
1,30,8,11,False,True,567,510,48582,3,57
1,30,8,12,False,True,578,504,48573,1,74
1,30,9,1,True,False,1162,790,47990,0,372
1,30,9,10,False,True,509,441,48641,2,68
1,30,9,11,False,True,513,462,48636,3,51
1,30,9,12,False,True,498,466,48649,5,32
1,30,10,1,True,False,1078,668,48074,0,410
1,30,10,10,False,True,515,213,48637,0,302
1,30,10,11,False,True,503,230,48649,0,273
1,30,10,12,False,True,507,234,48645,0,273
1,30,11,1,True,False,1070,649,48082,0,421
1,30,11,10,False,True,446,189,48705,1,257
1,30,11,11,False,True,459,199,48692,1,260
1,30,11,12,False,True,434,203,48718,0,231
1,30,12,1,True,False,1045,603,48107,0,442
1,30,12,10,False,True,498,179,48654,0,319
1,30,12,11,False,True,502,208,48650,0,294
1,30,12,12,False,True,511,214,48641,0,297
1,30,13,1,True,False,922,524,48230,0,398
1,30,13,10,False,True,349,140,48803,0,209
1,30,13,11,False,True,392,162,48760,0,230
1,30,13,12,False,True,396,200,48756,0,196
1,30,14,1,True,False,710,375,48442,0,335
1,30,14,10,False,True,286,92,48866,0,194
1,30,14,11,False,True,317,134,48835,0,183
1,30,14,12,False,True,354,151,48798,0,203
1,30,15,1,True,False,337,130,48815,0,207
1,30,15,10,False,True,38,38,32581,16533,0
1,30,15,11,False,True,42,41,48284,826,1
1,30,15,12,False,True,92,88,48332,728,4
2,51,8,1,True,False,2414,2361,179668,14526,53
2,51,9,1,True,False,4936,4449,175995,15677,487
2,51,9,11,False,True,3378,3173,192300,930,205
2,51,9,12,False,True,3154,2855,192801,653,299
2,51,9,13,False,True,3291,3134,192452,865,157
2,51,10,1,True,False,6150,5138,190456,2,1012
2,51,10,11,False,True,3132,2479,193473,3,653
2,51,10,12,False,True,2947,2424,193657,4,523
2,51,10,13,False,True,3031,2201,193577,0,830
2,51,11,1,True,False,5660,4218,190948,0,1442
2,51,11,11,False,True,2778,1903,193829,1,875
2,51,11,12,False,True,2752,1988,193856,0,764
2,51,11,13,False,True,2792,2128,193811,5,664
2,51,12,1,True,False,5340,4604,191252,16,736
2,51,12,11,False,True,2310,1641,194289,9,669
2,51,12,12,False,True,2248,1559,194336,24,689
2,51,12,13,False,True,2276,1661,194310,22,615
2,51,13,1,True,False,5297,4542,191311,0,755
2,51,13,11,False,True,2388,1815,194212,8,573
2,51,13,12,False,True,2213,1665,194394,1,548
2,51,13,13,False,True,2198,1697,194403,7,501
2,51,14,1,True,False,4638,4078,191970,0,560
2,51,14,11,False,True,2083,1665,194521,4,418
2,51,14,12,False,True,1851,1589,194745,12,262
2,51,14,13,False,True,1798,1532,194795,15,266
2,51,15,1,True,False,3663,3324,192939,6,339
2,51,15,11,False,True,1775,1380,194831,2,395
